Unemployment Rate (percent),,None.1,None.2,None.3,None.4,None.5,None.6,None.7,None.8,Unnamed: 10,Unnamed: 11
7.2,8.5,8.2,7.5,7.4,6.3,5.8,6.2,5.3,,45324,0.80101797359631
6.3,6.6,6.3,5.3,5.2,4.0,4.1,4.5,3.7,,48221,0.852217097007935
6.7,6.8,6.4,5.5,5.0,4.1,3.3,3.2,3.0,,70068,1.23832246434441
8.5,9.5,9.5,8.2,7.5,6.0,5.9,6.1,5.5,,38973,0.688775780711521
9.7,11.8,12.0,10.7,10.3,8.0,7.0,7.3,7.3,,43617,0.770849901914002
7.6,8.8,8.0,6.7,6.4,5.1,5.2,6.4,5.2,,49015,0.866249580262623
5.4,6.1,5.3,4.0,4.1,3.2,3.9,5.3,3.8,,56335,0.995617058126999
7.9,8.9,8.9,7.9,7.0,5.7,5.0,5.3,4.7,,36913,0.652369086121273
9.2,9.3,9.0,7.6,7.4,5.7,6.0,6.2,5.1,,42104,0.744110421858155
6.9,8.4,8.0,6.9,6.5,5.3,4.5,4.3,3.7,,49751,0.879257020659916
6.9,7.7,6.7,5.6,5.3,4.2,4.2,5.4,4.8,,53659,0.948323701465104
7.0,7.7,7.9,6.9,6.6,5.4,5.1,5.2,4.6,,42709,0.754802679249951
8.2,8.6,8.2,7.0,6.5,5.1,4.8,5.6,4.9,,56407,0.996889525122387
8.8,8.5,6.5,4.8,4.7,3.6,4.3,5.7,4.1,,63809,1.12770620150929
6.0,7.2,6.6,5.6,5.5,4.6,4.8,5.1,4.2,,53157,0.939451778802821
8.5,8.2,7.4,6.5,6.1,5.1,4.7,4.9,4.2,,36718,0.648922821342099
7.0,8.7,8.3,6.8,6.0,4.7,4.4,5.0,4.5,,46097,0.81467932064401
5.7,6.1,4.9,4.4,4.3,3.6,3.9,4.7,4.1,,47476,0.839050598236219
7.5,7.8,6.9,6.1,5.9,4.9,4.3,4.3,3.7,,45071,0.796546665959741
4.7,7.9,7.3,6.0,5.8,4.9,4.8,4.7,4.7,,40955,0.7238039693901
11.9,14.5,16.5,15.8,15.8,12.4,13.0,12.2,11.0,,31225,0.551844193485676
7.3,7.2,6.8,5.8,5.3,4.4,3.4,3.4,3.2,,82370,1.45573758902851
6.5,6.8,6.5,5.5,5.3,4.2,3.8,3.9,3.5,,66045,1.16722337097715
9.3,9.2,7.1,5.6,5.3,4.4,5.7,7.7,5.2,,53312,0.942191117473446
8.7,8.7,7.6,6.5,6.0,4.9,4.6,4.7,4.0,,57609,1.01813265468427
8.0,9.1,8.6,7.9,7.3,6.0,5.3,5.3,4.7,,47260,0.835233197250057
7.6,7.0,5.2,4.0,3.9,3.0,3.8,4.8,3.5,,57114,1.00938444409098
6.4,7.7,7.2,5.7,5.2,4.1,4.3,4.4,3.8,,52133,0.921354470423979
10.9,10.4,8.1,6.3,6.2,5.2,7.6,10.8,7.3,,34136,0.603290741035293
14.5,13.9,14.1,13.5,14.5,12.1,11.2,13.9,11.1,,25507,0.450789106268667
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
