Host_Country,2017,Year,Origin,Refugees,Asylum-seekers,Returned refugees,Internally_Displaced_Persons_(IDPs),Returned_IDPs,Stateless persons,Others_of_concern,Total_Population,country_code,rank,gdp,gdp_per_capita
Trinidad and Tobago,1369125.0,2017.0,Syrian Arab Rep.,53.0,32.0,,,,,,85.0,TTO,108.0,22105.0,16145.35
Tunisia,11532127.0,2017.0,Syrian Arab Rep.,603.0,,,,,,,603.0,TUN,92.0,40257.0,3490.86
Turkey,80745020.0,2017.0,Syrian Arab Rep.,3424237.0,163.0,,,,,,3424400.0,TUR,17.0,851102.0,10540.61
Uganda,42862958.0,2017.0,Syrian Arab Rep.,7.0,12.0,,,,,,19.0,UGA,101.0,25891.0,604.04
Ukraine,44831159.0,2017.0,Syrian Arab Rep.,483.0,520.0,,,,,,1003.0,UKR,60.0,112154.0,2501.7
Uruguay,3456750.0,2017.0,Syrian Arab Rep.,61.0,,,,,,,62.0,URY,77.0,56157.0,16245.61
United States,325719178.0,2017.0,Syrian Arab Rep.,7282.0,3358.0,,,,,,10640.0,USA,1.0,19390604.0,59531.66
South Africa,56717156.0,2017.0,Syrian Arab Rep.,45.0,,,,,,,45.0,ZAF,32.0,349419.0,6160.73
Bolivia (Plurinational State of),,2017.0,Syrian Arab Rep.,13.0,,,,,,,13.0,,,,
Côte d'Ivoire,,2017.0,Syrian Arab Rep.,12.0,9.0,,,,,,21.0,CIV,91.0,40389.0,
Dem. Rep. of the Congo,,2017.0,Syrian Arab Rep.,8.0,20.0,,,,,,28.0,,,,
Congo,,2017.0,Syrian Arab Rep.,9.0,12.0,,,,,,22.0,,,,
Czech Rep.,,2017.0,Syrian Arab Rep.,365.0,38.0,,,,,,403.0,,,,
Dominican Rep.,,2017.0,Syrian Arab Rep.,,6.0,,,,,,7.0,,,,
Egypt,,2017.0,Syrian Arab Rep.,126688.0,,,,,,,126688.0,,,,
Kyrgyzstan,,2017.0,Syrian Arab Rep.,69.0,12.0,,,,,,81.0,,,,
Rep. of Korea,,2017.0,Syrian Arab Rep.,1122.0,68.0,,,,,,1190.0,,,,
Rep. of Moldova,,2017.0,Syrian Arab Rep.,204.0,16.0,,,,,,220.0,,,,
The former Yugoslav Republic of Macedonia,,2017.0,Syrian Arab Rep.,15.0,,,,,,,18.0,,,,
Serbia and Kosovo (S/RES/1244 (1999)),,2017.0,Syrian Arab Rep.,73.0,,,,,,,75.0,,,,
Slovakia,,2017.0,Syrian Arab Rep.,17.0,,,,,,,17.0,,,,
Yemen,,2017.0,Syrian Arab Rep.,3286.0,496.0,,,,,,3782.0,,,,
