state,date_installed,incentive_prog_names,type,size_kw,appraised,zipcode,install_type,installer,cost_per_watt,cost,lbnl_tts_version_year,lbnl_tts,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tilt1,tracking_type,azimuth1,manuf2_clean,manuf3_clean,manuf1_clean,inv_man_clean,reported_annual_energy_prod,incentivetype,year_app_implied,year,npv_fit_real,application_implied,npv_pbi_real,other_incentive,appraised_cluster,inflation,other_incentive_real,zip_available,cust_city,pbi,pbi_real,pbi_length,application,fit_length,fit_rate,fit_payment,_3rdparty_implied,utility,install_price_real_w,install_price,installer_clean,manuf1_,inverter_reported,rebate_real,model1,_3rdparty,inv_model_reported,microinv_solarhub,bipv_3,bipv_2,bipv_1,sales_tax_rate,sales_tax_cost_real,bipv_all,thinfilm_all,china,sys_sizeac,pbi_rate,new_constr,effic_1,cust_county,tracking,inv_model_clean,mod_cost_real,inv_cost_real,bos_powerclerk_real,permitting_real,3rdparty,Filters=maxdate=1534723200&mindate=1514764800
NY,05/04/2018,,uir,13.86,,14830,Residential,Paradise Energy Solutions,3.12,43219,,,Corning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,05/04/2018,,uir,9.5,,22802,Residential,Paradise Energy Solutions,3.41,32410,,,Harrisonburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,05/09/2018,,uir,12.18,,21804,Residential,Paradise Energy Solutions,3.52,42880,,,Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,05/09/2018,,uir,12.47,,22802,Residential,Paradise Energy Solutions,2.76,34450,,,Harrisonburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH ,05/11/2018,,uir,14.95,,44622,Residential,Paradise Energy Solutions,2.22,33250,,,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,05/11/2018,,uir,3.96,,44691,Residential,Paradise Energy Solutions,4.05,16040,,,Wooster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,05/14/2018,,uir,61.48,,21863,Agricultural,Paradise Energy Solutions,2.72,166990,,,Snow Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,05/16/2018,,uir,10.89,,44805,Residential,Paradise Energy Solutions,3.3,35980,,,Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,05/16/2018,,uir,13.05,,22802,Residential,Paradise Energy Solutions,2.7,35270,,,Harrisonburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,05/17/2018,,uir,14.62,,43345,Agricultural,Paradise Energy Solutions,2.64,38550,,,Ridgeway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,05/23/2018,,uir,11.88,,19551,Residential,Paradise Energy Solutions  ,3.0,35690,,,Robesonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,05/24/2018,,uir,11.76,,17557,Commercial,Paradise Energy Solutions  ,3.28,38530,,,New Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,05/30/2018,,uir,13.05,,24441,Residential,Paradise Energy Solutions,2.78,36330,,,Grottoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,05/31/2018,,uir,19.17,,21830,Residential,Paradise Energy Solutions,2.87,55000,,,Hebron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/05/2018,,uir,17.16,,17316,Agricultural,Paradise Energy Solutions  ,3.12,53610,,,East Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/05/2018,,uir,19.8,,17572,Commercial,Paradise Energy Solutions  ,2.4,47530,,,Ronks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,06/07/2018,,uir,11.05,,44654,Residential,Paradise Energy Solutions,3.21,35460,,,Millersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/07/2018,,uir,15.84,,17050,Residential,Paradise Energy Solutions  ,2.77,43890,,,Mechanicsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/11/2018,,uir,11.88,,16901,Residential,Paradise Energy Solutions,3.75,44550,,,Wellsboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,06/12/2018,,uir,24.96,,14516,Agricultural,Paradise Energy Solutions,2.64,65940,,,North Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/13/2018,,uir,70.2,,17067,Commercial,Paradise Energy Solutions  ,2.18,152732,,,Myerstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,06/15/2018,,uir,13.92,,44615,Residential,Paradise Energy Solutions,2.86,39850,,,Carrollton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,06/15/2018,,uir,19.5,,22821,Commercial,Paradise Energy Solutions,2.23,43560,,,Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,06/20/2018,,uir,8.7,,44281,Residential,Paradise Energy Solutions,3.03,26360,,,Wadsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/22/2018,,uir,17.4,,17582,Residential,Paradise Energy Solutions  ,2.86,49800,,,Washington Boro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/26/2018,,uir,5.04,,17360,Residential,Paradise Energy Solutions  ,4.43,22320,,,Seven Valleys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,06/27/2018,,uir,33.0,,17545,Agricultural,Paradise Energy Solutions  ,2.88,95050,,,Manheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,07/11/2018,,uir,24.095,,75034,Residential,Axium Solar,3.78,90990,,,Frisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,08/03/2018,,uir,6.0,,75035,Residential,Axium Solar,2.9,17400,,,Frisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
