City,2016_Pop,2017_Pop,Pop_Change,Percent_Change,State
"Lincoln, Nebraska",281236,284736,3500,1.2,Nebraska
"Raleigh, North Carolina",459048,464758,5710,1.2,North Carolina
"Carlsbad, California",113920,115330,1410,1.2,California
"Jersey City, New Jersey",267446,270753,3307,1.2,New Jersey
"Madison, Wisconsin",252107,255214,3107,1.2,Wisconsin
"Plymouth, Minnesota",77447,78395,948,1.2,Minnesota
"Chula Vista, California",267203,270471,3268,1.2,California
"Fontana, California",209268,211815,2547,1.2,California
"Lee's Summit, Missouri",96134,97290,1156,1.2,Missouri
"Lenexa, Kansas",52918,53553,635,1.2,Kansas
"Coral Springs, Florida",131462,133037,1575,1.2,Florida
"Ocala, Florida",58422,59110,688,1.2,Florida
"Chesapeake, Virginia",237621,240397,2776,1.2,Virginia
"Winston-Salem, North Carolina",241805,244605,2800,1.2,North Carolina
"Clearwater, Florida",114194,115513,1319,1.2,Florida
"Jupiter town, Florida",64236,64976,740,1.2,Florida
"Brookhaven, Georgia",52909,53518,609,1.2,Georgia
"Lake Havasu City, Arizona",53793,54411,618,1.1,Arizona
"Lake Forest, California",83337,84293,956,1.1,California
"Kirkland, Washington",87636,88630,994,1.1,Washington
"Yuma, Arizona",94431,95502,1071,1.1,Arizona
"Arvada, Colorado",117477,118807,1330,1.1,Colorado
"Greensboro, North Carolina",287018,290222,3204,1.1,North Carolina
"Folsom, California",77180,78038,858,1.1,California
"Turlock, California",72751,73556,805,1.1,California
"Rowlett, Texas",62190,62868,678,1.1,Texas
"Chattanooga, Tennessee",177208,179139,1931,1.1,Tennessee
"Columbia, Missouri",120412,121717,1305,1.1,Missouri
"La Habra, California",61797,62466,669,1.1,California
"Minnetonka, Minnesota",52519,53085,566,1.1,Minnesota
"Sarasota, Florida",56391,56994,603,1.1,Florida
"Knoxville, Tennessee",185385,187347,1962,1.1,Tennessee
"Suffolk, Virginia",89294,90237,943,1.1,Virginia
"Sandy Springs, Georgia",105625,106739,1114,1.1,Georgia
"Greenville, North Carolina",91196,92156,960,1.1,North Carolina
"Stockton, California",307270,310496,3226,1.0,California
"Lubbock, Texas",251254,253888,2634,1.0,Texas
"Riverside, California",324336,327728,3392,1.0,California
"Bakersfield, California",376944,380874,3930,1.0,California
"Moreno Valley, California",205090,207226,2136,1.0,California
"Glendale, Arizona",244168,246709,2541,1.0,Arizona
"Modesto, California",212035,214221,2186,1.0,California
"Midland, Texas",134702,136089,1387,1.0,Texas
"North Charleston, South Carolina",109732,110861,1129,1.0,South Carolina
"Lansing, Michigan",115797,116986,1189,1.0,Michigan
"Grand Prairie, Texas",191874,193837,1963,1.0,Texas
"Tyler, Texas",103930,104991,1061,1.0,Texas
"Everett, Washington",108974,110079,1105,1.0,Washington
"Ames, Iowa",65838,66498,660,1.0,Iowa
"Glendale, California",201039,203054,2015,1.0,California
"Bryan, Texas",83188,84021,833,1.0,Texas
"Hollywood, Florida",152122,153627,1505,1.0,Florida
"Vancouver, Washington",173957,175673,1716,1.0,Washington
"Pueblo, Colorado",110044,111127,1083,1.0,Colorado
"Portland, Oregon",641494,647805,6311,1.0,Oregon
"St. Paul, Minnesota",303637,306621,2984,1.0,Minnesota
"Boston, Massachusetts",678430,685094,6664,1.0,Massachusetts
"Plantation, Florida",92996,93909,913,1.0,Florida
"Chapel Hill town, North Carolina",59283,59862,579,1.0,North Carolina
"Burien, Washington",51177,51671,494,1.0,Washington
"Apple Valley, Minnesota",51938,52435,497,1.0,Minnesota
"Tallahassee, Florida",189255,191049,1794,0.9,Florida
"Bolingbrook village, Illinois",74496,75201,705,0.9,Illinois
"San Francisco, California",876103,884363,8260,0.9,California
"Laredo, Texas",258232,260654,2422,0.9,Texas
"White Plains, New York",58499,59047,548,0.9,New York
"Lakewood, Washington",59738,60296,558,0.9,Washington
"Cathedral City, California",54094,54596,502,0.9,California
"Spokane, Washington",215114,217108,1994,0.9,Washington
"DeSoto, Texas",53079,53568,489,0.9,Texas
"Rochester Hills, Michigan",73532,74205,673,0.9,Michigan
"San Diego, California",1406682,1419516,12834,0.9,California
"Lexington-Fayette urban county, Kentucky",319052,321959,2907,0.9,Kentucky
"Garland, Texas",235868,238002,2134,0.9,Texas
"Stamford, Connecticut",129654,130824,1170,0.9,Connecticut
"Apple Valley town, California",72426,73077,651,0.9,California
