"World TOP 20 Countries with highest primary energy production 
 in 2014 (Mtoe)", ,Biodiesel,Biomass and Waste Elec,Coal,Fuel Ethanol,Gas,Geothermal Elec,Hydroelectricity,Nuclear,Oil,"Solar, Tide and Wave Elec",Wind Elec
Honduras,,0.043704988137719995,0.01748692871092609,-,-,-,-,0.21850361652179034,-,0.0010138888888888888,-,0.053394500968411654
Mauritania,,-,-,-,-,-,-,0.012604616478399269,-,0.3043192569444444,-,-
Swaziland,,-,-,0.28956241166853325,-,-,-,0.011670941183703026,-,-,-,-
El Salvador,,-,0.03334984947183552,-,-,-,0.1360590116538892,0.14588026880505175,-,-0.026039708333333335,-,-
Nepal,,-,-,0.00926345032794822,-,-,-,0.24835137699548984,-,-,-,-
Uganda,,-,0.008598452278589854,-,-,-,-,0.2264162589638387,-,-,-,-
Malawi,,-,-,0.03197883140025566,0.0058607020991999995,-,-,0.17739830599228598,-,0.01013888888888889,-,-
Jamaica,,-,0.09148753224419605,-,-,-,-,0.011800304045576936,-,0.1074524513888889,-,0.012381771281169388
Sri Lanka,,-,8.598452278589854e-05,-,-,-,-,0.23116983519077042,-,-0.02755040277777778,0.0014617368873602753,0.00025795356835769565
Dominican Republic,,-,0.0020636285468615652,-,-,-,-,0.16190885640584696,-,0.0030974305555555555,-,0.008684436801375754
Jordan,,-,0.0006018916595012897,-,-,0.1595156999903356,-,0.003923946844426629,-,0.008352416666666666,-,0.00025795356835769565
Aruba,,-,-,-,-,-,-,-,-,0.14248839583333334,-,0.007738607050730868
Namibia,,-,-,-,-,-,-,0.1485477393861721,-,-,-,-
Nicaragua,,-,0.04037555109390221,-,-,-,0.049115072731453116,0.03869303525365434,-,-0.007781597222222222,-,0.02302952135282313
Belize,,-,0.017196904557179708,-,-,-,-,0.02226999140154772,-,0.09215033333333333,1.7196904557179708e-05,2.579535683576956e-06
Madagascar,,-,-,-,-,-,-,0.12464565184194831,-,-,-,-
Réunion,,-,0.02579535683576956,-,-,-,-,0.059101646154272124,-,-,0.0008598452278589854,0.0017196904557179708
Gibraltar,,-,-,-,-,-,-,-,-,-,0.08598452278589853,-
Netherlands Antilles,,-,-,-,-,-,-,-,-,0.07583229861111111,-,0.005159071367153912
Cambodia,,0.042869451599793,0.0017196904557179708,-,-,-,-,0.036351030595108864,-,2.534722222222222e-05,1.7196904557179708e-05,-
Senegal,,-,0.004471195184866724,-,-,0.04316307176209082,-,0.026796480957782146,-,-0.0017291875,0.00025795356835769565,-
Barbados,,4.284802758599999e-05,-,-,-,0.01865310048,-,-,-,0.05074513888888888,-,-
Mali,,-,-,-,-,-,-,0.06759809133600793,-,-,-,-
Lebanon,,-,-,-,-,-,-,0.06520291673155582,-,-,-,-
Mauritius,,-,0.04471195184866724,-,-,-,-,0.006815829651282567,-,-,-,0.00025795356835769565
Guinea,,-,-,-,-,-,-,0.05135214120829332,-,-,-,-
Puerto Rico,,-,-,-,-,-,-,0.011721107374130107,-,0.03415284722222222,-,-
Lesotho,,-,-,-,-,-,-,0.04537661932223737,-,-,-,-
Fiji,,0.0012854408275799999,0.0017196904557179708,-,-,-,-,0.0372740059813128,-,0.0015208333333333332,8.598452278589854e-06,0.0017196904557179708
French Guiana,,-,0.0008598452278589854,-,-,-,-,0.042643539185987143,-,-,-,-
New Caledonia,,-,-,-,-,-,-,0.028399242652428797,-,-,-,0.002579535683576956
Cyprus,,0.007824111824865386,0.0005674978503869304,-,-,-,-,-,-,-,0.0006018916595012897,0.016079105760963025
Luxembourg,,-,0.0106342288595556,-,-,-,-,0.00997420464316423,-,-,0.002579535683576956,-
Guadeloupe,,-,0.008598452278589854,-,-,-,0.008598452278589854,-,-,-,-,0.004299226139294927
Moldova,,-,-,-,-,-,-,0.021425134158962696,-,-0.0008775208333333333,-,-
Burundi,,-,-,-,-,-,-,0.01867350589392484,-,-,-,-
Hong Kong Special Administrative Region (China),,0.0042848027585999995,0.006706792777300086,-,-,-,-,-,-,0.005069444444444445,-,7.188306104901119e-05
Central African Republic,,-,-,-,-,-,-,0.013888002132239306,-,-,-,-
Rwanda,,0.00042848027586,-,-,-,-,-,0.012604616478399269,-,0.0005069444444444444,1.7196904557179708e-05,-
Haiti,,-,-,-,-,-,-,0.01251307408859836,-,-,-,-
